Country_Name,Country_Code,2010_Preparedness,2010_Stat_Capacity,2011_Preparedness,2011_Stat_Capacity,2012_Preparedness,2012_Stat_Capacity,2013_Preparedness,2013_Stat_Capacity,2014_Preparedness,2014_Stat_Capacity,2015_Preparedness,2015_Stat_Capacity,2016_Preparedness,2016_Stat_Capacity,2017_Preparedness,2017_Stat_Capacity
Haiti,HTI,,42.22222222,30,42.22222222,,38.88888889,20,41.11111111,20,47.77777778,26,47.7778,73,38.8889,73,36.66666667
Honduras,HND,7,75.55555556,30,75.55555556,20,68.88888889,43,62.22222222,33,73.33333333,50,76.6667,70,77.7778,43,71.11113333
Hungary,HUN,67,86.66666667,100,86.66666667,60,85.55555556,100,88.88888889,100,85.55555556,100,85.55556667,92,85.55556667,92,52.22223333
Iceland,ISL,,,77,,100,,,,90,,,,100,,100,
Indonesia,IDN,71,86.66666667,100,83.33333333,80,83.33333333,91,80,100,83.33333333,100,84.44446667,100,86.66666667,100,86.66666667
"Iran, Islamic Rep.",IRN,41,71.11111111,55,68.88888889,80,70,100,70,91,73.33333333,91,73.33333333,,78.8889,82,75.55556667
Iraq,IRQ,35,41.11111111,80,46.66666667,70,50,100,50,100,46.66666667,,52.22223333,,50,90,52.22223333
Ireland,IRL,28,,55,,80,,,,,,,,,,,
Israel,ISR,73,,,,,,,,,,100,,100,,,
Italy,ITA,67,,67,,,,,,,,,,73,,,
Jamaica,JAM,19,74.44444444,90,81.11111111,90,78.88888889,71,78.88888889,73,78.88888889,92,77.7778,92,77.77776667,,71.1111
Japan,JPN,100,,100,,100,,100,,100,,100,,100,,100,
Jordan,JOR,78,76.66666667,87,74.44444444,100,75.55555556,61,74.44444444,100,74.44444444,,74.44446667,55,71.11113333,55,75.5556
Kenya,KEN,14,62.22222222,42,61.11111111,70,57.77777778,53,52.22222222,,54.44444444,,54.44443333,,55.55553333,55,57.77776667
Kiribati,KIR,85,36.66666667,100,37.77777778,100,37.77777778,91,35.55555556,91,35.55555556,,34.44443333,,39.99996667,,39.99996667
Kuwait,KWT,100,,87,,90,,100,,100,,100,,100,,100,
Lao PDR,LAO,73,70,42,65.55555556,10,70,35,72.22222222,46,73.33333333,100,71.11113333,100,64.44446667,,67.7778
Latvia,LVA,60,,100,,100,,,,100,,91,,92,90,92,56.66666667
Lebanon,LBN,28,56.66666667,20,63.33333333,20,66.66666667,81,66.66666667,90,62.22222222,,65.55553333,,63.33333333,100,66.66663333
Lesotho,LSO,14,65.55555556,57,65.55555556,,72.22222222,36,73.33333333,,72.22222222,,65.5556,80,57.7778,53,62.22223333
Liberia,LBR,14,33.33333333,32,40,,43.33333333,,47.77777778,,46.66666667,,51.1111,,57.77776667,90,60.00003333
Libya,LBY,78,40.55555556,55,35.55555556,60,36.66666667,60,27.77777778,60,28.88888889,60,22.2222,43,22.2222,43,22.2222
Lithuania,LTU,42,,67,,70,,63,,63,,63,,63,83.33333333,63,56.66666667
Luxembourg,LUX,39,,35,,50,,90,,90,,90,,90,,90,
Madagascar,MDG,,67.77777778,40,66.66666667,,64.44444444,41,63.33333333,41,62.22222222,,58.8889,,62.22223333,55,56.66666667
Malawi,MWI,,78.88888889,90,77.77777778,,74.44444444,,78.88888889,0,75.55555556,,75.55556667,,74.44446667,63,77.7778
Malaysia,MYS,100,80,100,76.66666667,100,70,100,71.11111111,100,74.44444444,100,74.44443333,100,77.77776667,,81.1111
Maldives,MDV,67,65.55555556,22,66.66666667,40,71.11111111,70,68.88888889,61,66.66666667,53,55.55553333,53,50,53,52.2222
Mali,MLI,,63.33333333,32,63.33333333,,66.66666667,,67.77777778,,66.66666667,,65.55556667,,65.55556667,17,65.55556667
Malta,MLT,,,57,,60,,75,,75,,,,50,,50,
Marshall Islands,MHL,100,41.11111111,65,46.66666667,90,53.33333333,75,53.33333333,,46.66666667,,37.77776667,,28.8889,70,32.2222
Mauritania,MRT,7,62.22222222,0,63.33333333,0,56.66666667,,60,16,58.88888889,16,66.6667,,58.88893333,47,56.6667
